1@'Weird Al' Yankovic
2@50 Cent
3@A Martinez
4@A.J. Buckley
5@A.J. Cook
6@A.J. Langer
7@AJ Bowen
8@Aaron Abrams
9@Aaron Burns
10@Aaron Douglas
11@Aaron Eckhart
12@Aaron Paul
13@Aaron Poole
14@Aaron Taylor-Johnson
15@Aaron Tveit
16@Abbey Lee
17@Abbie Cobb
18@Abbie Cornish
19@Abe Vigoda
20@Abel Ferrara
21@Abigail Breslin
22@Abigail Spencer
23@Abraham Benrubi
24@Adam Baldwin
25@Adam Beach
26@Adam Brody
27@Adam Butcher
28@Adam David Thompson
29@Adam DeVine
30@Adam Driver
31@Adam Goldberg
32@Adam Gregory
33@Adam James
34@Adam Johnson
35@Adam Roarke
36@Adam Rodriguez
37@Adam Sandler
38@Adam Scott
39@Adam Shulman
40@Adam West
41@Adam Wingard
42@Adam Wylie
43@Addison Timlin
44@Addy Miller
45@Adeel Akhtar
46@Adelaide Clemens
47@Adelaide Kane
48@Adele
49@Aden Young
50@Adetokumboh M'Cormack
51@Adewale Akinnuoye-Agbaje
52@Adi Shankar
53@Adolf Hitler
54@Adolphe Menjou
55@Adrian Bouchet
56@Adrian Grenier
57@Adrian Holmes
58@Adrian Martinez
59@Adrian Pasdar
60@Adrian Paul
61@Adrian R'Mante
62@Adrian Scarborough
63@Adrian Zmed
64@Adrianne Palicki
65@Adrien Brody
66@Adriene Mishler
67@Adrienne Bailon
68@Adrienne Barbeau
69@Adrienne King
70@Agnes Bruckner
71@Agnes Moorehead
72@Agyness Deyn
73@Ahmed Best
74@Aidan Gillen
75@Aidan McArdle
76@Aidan Quinn
77@Aidan Turner
78@Aiden Flowers
79@Aileen Quinn
80@Aimee Carrero
81@Aimee Teegarden
82@Aisha Tyler
83@Aishwarya Rai Bachchan
84@Aisling Franciosi
85@Aisling Loftus
86@Aja Naomi King
87@Ajay Naidu
88@Al Jolson
89@Al Lettieri
90@Al Lewis
91@Al Pacino
92@Al Sapienza
93@Alan Alda
94@Alan Arkin
95@Alan Bagh
96@Alan Bates
97@Alan Cumming
98@Alan Ford
99@Alan Hale
100@Alan Howard
101@Alan Ladd
102@Alan Napier
103@Alan Oppenheimer
104@Alan Parker
105@Alan Rickman
106@Alan Ritchson
107@Alan Rosenberg
108@Alan Ruck
109@Alan Tudyk
110@Alan Van Sprang
111@Alan Young
112@Alana Curry
113@Alanna Ubach
114@Alastair Mackenzie
115@Alastair Sim
116@Albert Brooks
117@Albert Finney
118@Albert Salmi
119@Alberta Watson
120@Aldo Ray
121@Alec Baldwin
122@Alec Guinness
123@Alec Utgoff
124@Aleisha Allen
125@Alejandro Jodorowsky
126@Aleks Paunovic
127@Aleksa Palladino
128@Alessandro Nivola
129@Alex Carter
130@Alex Dimitriades
131@Alex Gibney
132@Alex Hyde-White
133@Alex Kendrick
134@Alex McArthur
135@Alex McGregor
136@Alex O'Loughlin
137@Alex Ozerov
138@Alex Pettyfer
139@Alex Reid
140@Alex Rocco
141@Alex Russell
142@Alex Veadov
143@Alex Winter
144@Alex Zahara
145@Alexa Davalos
146@Alexa Havins
147@Alexa Nikolas
148@Alexa PenaVega
149@Alexander Arnold
150@Alexander Conti
151@Alexander Dreymon
152@Alexander Fehling
153@Alexander Ludwig
154@Alexander Siddig
155@Alexander Skarsgard
156@Alexandra Daddario
157@Alexandra Holden
158@Alexandra Johnes
159@Alexandra Maria Lara
160@Alexandra Paul
161@Alexandra Powers
162@Alexandra Weaver
163@Alexandria DeBerry
164@Alexia Fast
165@Alexia Rasmussen
166@Alexie Gilmore
167@Alexis Arquette
168@Alexis Bledel
169@Alexis Dziena
170@Alexis Knapp
171@Alexis Smith
172@Alfie Allen
173@Alfonso Freeman
174@Alfre Woodard
175@Alfred Hitchcock
176@Alfred Molina
177@Ali Astin
178@Ali Cobrin
179@Ali Faulkner
180@Ali Larter
181@Ali Liebert
182@Ali MacGraw
183@Alia Shawkat
184@Alice Braga
185@Alice Cooper
186@Alice Englert
187@Alice Evans
188@Alice Eve
189@Alice Krige
190@Alice Lowe
191@Alice Parkinson
192@Alicia Keys
193@Alicia Silverstone
194@Alicia Vela-Bailey
195@Alicia Vikander
196@Alicia Witt
197@Alicia Ziegler
198@Alicja Bachleda
199@Alida Valli
200@Alisha Boe
201@Alison Becker
202@Alison Brie
203@Alison Doody
204@Alison Eastwood
205@Alison Lohman
206@Alison Pill
207@Aliyah O'Brien
208@Allan Arbus
209@Allen Leech
210@Allie Haze
211@Allison Janney
212@Allison Miller
213@Allison Scagliotti
214@Allison Tolman
215@Ally Sheedy
216@Ally Walker
217@Alon Aboutboul
218@Alona Tal
219@Alun Armstrong
220@Aly Michalka
221@Alycia Debnam-Carey
222@Alysa King
223@Alysia Reiner
224@Alyson Bath
225@Alyson Hannigan
