1@Will Finn
2@Michael Arias
3@Thomas Napper
4@Robert Wise
5@Benjamin Turner
6@James Orr
7@Phil Morrison
8@Todd Robinson
9@Marina Zenovich
10@Nicolas Gessner
11@Edmund Goulding
12@Adam Ahlbrandt
13@Sarik Andreasyan
14@Alan White
15@Shamim Sarif
16@Alejandro Amenabar
17@Casey La Scala
18@Kazuya Sasahara
19@Colin Eggleston
20@Vaughan Sivell
21@R.J. Cutler
22@Ivan Kraljevic
23@Xavier Manrique
24@Tristan Versluis
25@Jack Garfein
26@Joshua Marston
27@Jake Szymanski
28@Mabrouk El Mechri
29@Albert Band
30@Stephen Poliakoff
31@Gideon Raff
32@Scott W. McKinlay
33@Kenneth Lonergan
34@Andy Mikita
35@Kyle Rankin
36@S.V. Krishna Reddy
37@Julia Leigh
38@Josef von Sternberg
39@Henrik Martin Dahlsbakken
40@Paul Henreid
41@Rupert Wainwright
42@Marc Evans
43@Rufus Norris
44@Noah Scott
45@Sarah Smith
46@Jim O'Connolly
47@Chris Majors
48@Norman Z. McLeod
49@Ti West
50@Olivier Assayas
51@Eric Red
52@Tommy Avallone
53@Edward Dmytryk
54@Luciano Saber
55@Miguel Arteta
56@Zach Braff
57@James Signorelli
58@Richard Tuggle
59@Stuart Cooper
60@Hector Echavarria
61@Phil Alden Robinson
62@Amy Heckerling
63@Steven Brill
64@Rebecca Miller
65@Cullen Blaine
66@Hal Needham
67@Ben Younger
68@Bob Meyer
69@Joseph Losey
70@Luke Matheny
71@Aram Rappaport
72@Garry Marshall
73@John Guillermin
74@Luciano Ercoli
75@Don Sharp
76@Sylvester Stallone
77@Laurent Malaquais
78@Peter Paul Basler
79@John Butler
80@Misty Talley
81@Will Bakke
82@Carles Torrens
83@Bennett Davlin
84@Matt Brown
85@Damien Leone
86@Jake Paltrow
87@Robert Sparr
88@Janet Greek
89@Paul Tarnopol
90@Oklahoma Ward
91@Francesca Gregorini
92@Gus Krieger
93@Ryan Bellgardt
94@Michael Bay
95@Jill Sprecher
96@Anthony Quinn
97@Ben Drew
98@Jeffrey Nachmanoff
99@Mihalis Kakogiannis
100@Luke Cresswell
101@Jan de Bont
102@Chris Nelson
103@Steven Judd
104@Jacob Vaughan
105@Aaron Kaufman
106@Anders Morgenthaler
107@Samuel Bayer
108@Kelvin Tong
109@Bernard L. Kowalski
110@Nico Mastorakis
111@Nigel Cole
112@John Henderson
113@Sylvie Verheyde
114@Mel Damski
115@Mark Kassen
116@Timothy Woodward Jr.
117@Enzo Barboni
118@Donna Deitch
119@Brett Ratner
120@Jon Long
121@Jessica Sharzer
122@Ossie Davis
123@Sara Colangelo
124@Daniel Krige
125@Geoffrey Sax
126@Ben Samuels
127@Lynn Shelton
128@Jason Reitman
129@Alastair Fothergill
130@Bobcat Goldthwait
131@Brian Percival
132@Stuart Heisler
133@Jeff Renfroe
134@Michael J. Sarna
135@Simone Bartesaghi
136@Bille Woodruff
137@James Nguyen
138@Clare Kilner
139@Brent Hodge
140@Doron Paz
141@Drew Goddard
142@Jeremy Grant
143@Brandon Slagle
144@Theodore Melfi
145@Cody Cameron
146@Fredrik Bond
147@Kat Coiro
148@Frank Oz
149@Dave Bullock
150@Adrian Moat
151@Kurt Wimmer
152@Kelly Fremon Craig
153@Ricci Harnett
154@Jake Kasdan
155@Claude Whatham
156@Charles Vidor
157@Ben Mole
158@Charles Ferguson
159@Tom Morris
160@Joseph Mangine
161@Abner Pastoll
162@Steve Oedekerk
163@Thierry Poiraud
164@James Bobin
165@Mark Levinson
166@Tom McCarthy
167@Rachel Goldenberg
168@Bill Morrison
169@Catherine Hardwicke
170@Colin Trevorrow
171@David Worth
172@David Boyd
173@Alex Zamm
174@Thea Sharrock
175@Eugene Lourie
176@Mike Myers
177@Stephen Elliott
178@Alex de la Iglesia
179@Steve Loter
180@Jack Gold
181@Nicholas Verso
182@Mike Testin
183@Eleanor Coppola
184@Nat Faxon
185@Jack Smight
186@Ira Sachs
187@Jeff Frentzen
188@Irvin Kershner
189@Director X.
190@Andre Ovredal
191@Simon Sprackling
192@Eugenio Martin
193@Stephen Norrington
194@Joseph Kosinski
195@Corey Yuen
196@John Frankenheimer
197@Laura Poitras
198@Roy Rowland
199@Norman Jewison
200@Bill Guttentag
201@Gregory Jacobs
202@Jared Hess
203@Gabe Turner
204@Ron Howard
205@Howard Deutch
206@Carroll Ballard
207@Sam Friedlander
208@William H. Macy
209@John Boorman
210@Robert Townsend
211@Andrew Renzi
212@Michael Rymer
213@Robert Luketic
214@Edward D. Wood Jr.
215@Jonny Owen
216@Jesus Franco
217@Anthony Powell
218@Jon Gunn
219@Alan Shapiro
220@Eric Brevig
221@David Hartman
222@Steve James
223@Antonio Simoncini
224@Walter Salles
225@John Stockwell
226@Heitor Dhalia
227@Jonathan Dayton
228@Mateo Gil
229@Mamoru Oshii
230@Francis Schaeffer
231@Kirk Jones
232@Britt Napier
233@Jason Hall
234@Cedric Nicolas-Troyan
235@Albert Pyun
236@Mark Mylod
237@Jonas Pate
238@Seve Schelenz
239@Michael Hoffman
240@Walt Becker
241@Francesco Cinquemani
242@Vondie Curtis-Hall
243@Tom Gianas
244@Dustin Hoffman
245@Owen Hurley
246@Allan Ungar
247@Brad Peyton
248@Martin Brest
249@Ryan M. Andrews
250@Alexander Mackendrick
251@Justin Pemberton
252@Chad Crawford Kinkle
253@Craig Anderson
254@Simon Verhoeven
255@James Kondelik
256@Phyllida Lloyd
257@Srdjan Spasojevic
258@Bob Kelljan
259@Sarah Adina Smith
260@Matt Peters
261@Christopher Nolan
262@Ben Verbong
263@J.C. Chandor
264@Burt Kennedy
265@Don Siegel
266@Mark Cullen
267@Mike Flanagan
268@Don Chaffey
269@Sophia Takal
270@Bob Balaban
271@Mike Marvin
272@Joyce Chopra
273@Gabriel Bologna
274@Steve Race
275@Irwin Allen
276@Mike Cahill
277@Danny Leiner
278@Bille August
279@Thomas Bezucha
280@Chandran Rutnam
281@Atom Egoyan
282@John Stewart Muller
283@Craig Moss
284@Stiles White
285@John Glenn
286@David Block
287@Elliott Lester
288@Peter Chelsom
289@Peter H. Hunt
290@Michael Cuesta
291@Charlie Stratton
292@Ryan Craig
293@Edward D. Murphy
294@Victor Garcia
295@Kamal Ahmed
296@Tony Britten
297@Chris Dowling
298@David Gidali
299@Peter Lord
300@Joseph Ellison
301@Ralph Ziman
302@Guy Ritchie
303@Jason Lapeyre
304@Douglas Hickox
305@Jeroen Jaspaert
306@Mike Mendez
307@Trey Edward Shults
308@Sean Anders
309@Andy Cheng
310@Ben Howling
311@Vic Armstrong
312@Bud Townsend
313@Alexs Stadermann
314@Mark Young
315@Paco Cabezas
316@William Kaufman
317@Shane Black
318@Bart Freundlich
319@Mario Bava
320@Ronny Yu
321@Juan Solanas
322@Michael A. Simpson
323@Travis Fine
324@Phil Wurtzel
325@Louis Leterrier
326@Greg Kwedar
327@Serge Rodnunsky
328@Gary Fleder
329@Joseph Tito
330@Mac Carter
331@David Field and George Basha
332@John R. Cherry III
333@Joanna Coates
334@Steven Quale
335@Nunnally Johnson
336@Kevin Asch
337@Chuan Lu
338@Johnny Tabor
339@William Crain
340@Robert Ethan Gunnerson
341@Joseph Kahn
342@Sean Mewshaw
343@Robert Kirk
344@Ron Underwood
345@Isabel Coixet
346@Stephen Fingleton
347@Richard Bates Jr.
348@Lee Sholem
349@John Maybury
350@John Madden
351@Adam Nimoy
352@Vince Vieluf
353@David Lean
354@George Butler
355@Chris Fisher
356@Jeff London
357@Chris von Hoffmann
358@Denis Villeneuve
359@Mark Rosman
360@Tim Miller
361@James Isaac
362@David Keating
363@Patrick Johnson
364@Charles Guard
365@Richard Berry
366@Jerry Kramer
367@Emily Ting
368@Kriv Stenders
369@Paul Hunter
370@Trevor White
371@Scot Armstrong
372@Dennis Gansel
373@Sacha Bennett
374@Andy Wachowski
375@Tom Ellery
376@Jacques Tati
377@Sandra Nettelbeck
378@Howard Hawks
379@Peter Sasdy
380@Eddie Romero
381@David Hogan
382@Andrey Konchalovskiy
383@Jonathan Frakes
384@Jennifer Kent
385@Kevin Smith
386@Wayne Holloway
387@Mitch Wilson
388@Anne Goursaud
389@Skip Woods
390@Baltasar Kormakur
391@Lonny Price
392@Mark Jones
393@Don McKellar
394@John Ford
395@Carmen Marron
396@Nick Castle
397@John K.D. Graham
398@Fabio Guaglione
399@Stephen Amis
400@Scott Kirkpatrick
401@Lewis Gilbert
402@Scott Frank
403@Conrad Helten
404@Jerome Sable
405@Rodrigo Gudino
406@Mans Marlind
407@James Cameron
408@Jason Momoa
409@Bradley Raymond
410@Anthony Russo
411@Randal Kleiser
412@Kurando Mitsutake
413@Scott Spiegel
414@Jimmy Hayward
415@John Mackenzie
416@Gabriele Muccino
417@Dick Powell
418@Jeremy Summers
419@Ewald Andre Dupont
420@Damiano Damiani
421@Peter Berg
422@Michael Winterbottom
